Judge,Variant,Model,n,acknowledgement,acknowledgement_ci,concreteness,concreteness_ci,tone,tone_ci,grounding,grounding_ci,overall,overall_ci,has_placeholder,promises_outcome,admits_liability
gpt-4o-mini,V1 terse,ChatGPT,299,3.3244147157190636,0.08498865121197466,2.3444816053511706,0.05855259495229477,4.454849498327759,0.0565379434846382,4.996655518394649,0.006555183946488296,2.9565217391304346,0.07024111058800765,0.2608695652173913,0.026755852842809364,0.10367892976588629
gpt-4o-mini,V1 terse,Mistral,299,3.6956521739130435,0.09723798845644685,2.9264214046822743,0.08570837711986275,4.6120401337792645,0.05610012467616375,4.983277591973244,0.014559129814102402,3.3612040133779266,0.07399409274104908,0.16722408026755853,0.1605351170568562,0.22073578595317725
gpt-4o-mini,V2 empathetic,ChatGPT,299,4.2040133779264215,0.06037852015446443,3.180602006688963,0.06097974188661711,4.966555183946488,0.020413885399251198,4.986622073578595,0.013044209180269575,3.79933110367893,0.046411219336043516,0.431438127090301,0.12040133779264214,0.10367892976588629
gpt-4o-mini,V2 empathetic,Mistral,299,4.712374581939799,0.05620284402369272,4.117056856187291,0.06463696838522631,4.996655518394649,0.006555183946488295,4.993311036789297,0.009254862557209335,4.214046822742475,0.050988779243279596,0.1705685618729097,0.4916387959866221,0.5183946488294314
gpt-4o-mini,V3 structured,ChatGPT,299,4.555183946488294,0.05793116549419352,3.237458193979933,0.05577015140857865,4.752508361204013,0.04899862239293297,5.0,0.0,3.719063545150502,0.0510311815618285,0.033444816053511704,0.020066889632107024,0.006688963210702341
gpt-4o-mini,V3 structured,Mistral,299,4.441471571906354,0.07002316791112867,3.230769230769231,0.0553575236950307,4.695652173913044,0.05224312110527389,4.993311036789297,0.009254862557209335,3.68561872909699,0.054324187046692674,0.0802675585284281,0.016722408026755852,0.006688963210702341
mistral-small,V1 terse,ChatGPT,299,2.8060200668896322,0.12191691254018208,2.1070234113712374,0.08575715294995317,4.1237458193979935,0.04276661408323532,4.591973244147157,0.10049050197248373,2.4615384615384617,0.0783297126236415,0.11371237458193979,0.006688963210702341,0.0
mistral-small,V1 terse,Mistral,299,3.3578595317725752,0.1397082085574898,2.94314381270903,0.11220924516307376,4.394648829431438,0.06209511739127636,4.655518394648829,0.08396448963564568,3.096989966555184,0.09564714897488077,0.0802675585284281,0.08695652173913043,0.020066889632107024
mistral-small,V2 empathetic,ChatGPT,299,3.1672240802675584,0.106614679317831,2.6187290969899664,0.08319502750915657,4.384615384615385,0.055237572256797346,3.9665551839464883,0.14230058940305085,3.016722408026756,0.08066414711938556,0.3979933110367893,0.023411371237458192,0.0033444816053511705
mistral-small,V2 empathetic,Mistral,299,4.20066889632107,0.12492304300140103,4.187290969899665,0.07356215797672011,4.8361204013377925,0.04202858758669363,4.331103678929765,0.1063275632251146,3.9933110367892977,0.0737012003416967,0.1605351170568562,0.20735785953177258,0.1806020066889632
mistral-small,V3 structured,ChatGPT,299,3.9264214046822743,0.07944290229142145,3.5217391304347827,0.0709051555174858,4.501672240802676,0.05826869891798727,4.9799331103678925,0.029276297476147385,3.5050167224080266,0.06783924082794762,0.030100334448160536,0.0,0.0
mistral-small,V3 structured,Mistral,299,3.8060200668896322,0.10602879052032732,3.3812709030100336,0.08473547308098531,4.39799331103679,0.0555758974174395,4.959866220735786,0.03184316168708009,3.3779264214046822,0.07261318366491844,0.05351170568561873,0.0033444816053511705,0.0
